zip_name,country,site_code,file_count,total_bytes,sha256
aus_D1.zip,australia,D1,13738,26383216144,47cc9aa0d636d00970b2608b5efd89e410328f6d9b3d64799a22517d9c7d5afa
aus_D2.zip,australia,D2,14084,27047704992,563094573c38cccaab11177d2da49716f56274cde90fcbc4d8de40a05862dbfb
aus_D3.zip,australia,D3,14058,26997772304,0db06ada56b59afc4c154190dcd0dbf59e0b2dc027243830cc5f92b64c8cf886
aus_H1.zip,australia,H1,13664,26241100032,06887f207c04ab869c262239383bba89602144c40b72e58c160571de9e722c09
aus_H2.zip,australia,H2,12630,24255347440,f8f14f34289670ea19247639810fe3b7d7598416db8973ada35b7682fcd23630
aus_H3.zip,australia,H3,14041,26965124008,023a9c00ae2de7840b0b3962df19f604a3e71f142d1f22e99d9ee4c2bfb82145
aus_R1.zip,australia,R1,14287,27437532056,f0380db42f622dea5a77eae8438213db34f9a471851f795f442d6ad4797d3e13
ind_D1.zip,indonesia,D1,15768,30282254784,51fd877c8492b3049ebfcaf7f015616e854a4ad568de3b5e9bd75851a2f7f17b
ind_D2.zip,indonesia,D2,15486,29740677168,76b6b28288b3a8c982e2dcb34b804fbfa84df09714db12be26da45d35d28ba72
ind_D3.zip,indonesia,D3,15650,30055637200,5e699a11d23fc15163805cdf0c6cb796af6facc11a7d74dc7f3edc4983d84821
ind_D4.zip,indonesia,D4,15374,29525582512,653e5f4be263de9bb9a34908612919506fe442043a8098c7f3c527f43bc2f323
ind_D5.zip,indonesia,D5,17921,34417065448,b1eb800fd0fcd56fb2c86fefb0c499d51bab957981d358b198c415eea686be17
ind_D6.zip,indonesia,D6,15231,29250952728,ad47ff6e1a539e1d756675442a648a8486d06e5e68c292a4ddd5cbad2b1b7ed7
ind_H1.zip,indonesia,H1,16220,31149963360,0298502f84b0d4dba88ab86d8da28db34ba57a74c3c7017772deed4c3bf3cff1
ind_H2.zip,indonesia,H2,15941,30614499208,c871ec45d66854e306768556b55b80c8f2250cd769780ef48ea8d1d5d15c027e
ind_H3.zip,indonesia,H3,16980,32588297784,57f43a237f803730e39e72e2a99fe0ae112d7472cde23cb6773a1d8d8e9cb959
ind_H4.zip,indonesia,H4,3414,6555830840,ea2da0f47f39ccd2c422ca8afc18003deef593f09c4a6e0f1f947c256c9f247d
ind_H5.zip,indonesia,H5,3372,6475885536,be7e86b94e39d7c79ed50d6392a356cdda87266718825ef504925a22c90e1b7d
ind_H6.zip,indonesia,H6,15730,30209276240,c18e7c984fdc3aa3e45f511fa27b7a7a59381a910307afd4d4b8a323d71f7cdd
ind_N1.zip,indonesia,N1,4063,7766268312,961da029ef18fc62b07cd2b524e58e3826fe2d6e2a296b9f2c2ac63fde8470af
ind_N2.zip,indonesia,N2,4106,7885523728,2e4d4264aa0120ece80f5104edf48dcd0eee60cba94f091eb830c78dcb8ca38d
ind_N3.zip,indonesia,N3,4217,7789083456,3b22c05ca7f4f8398f7d2d17b5f3bae963d3b1cdcfacc5178872179f77c1402f
ind_R1.zip,indonesia,R1,15477,29723392776,faf51da77eb2343b5b2cd59d6f7b7d67474df10491ffa95a67e55497de4694d4
ind_R2.zip,indonesia,R2,14815,28452029720,53407b45d9765eb826d6e9f92bc79121cf7df70acb5fff5389f59468f11e2ea9
ind_R3.zip,indonesia,R3,15489,29746438632,26d9bcd26dd5f24a3605faedaa8333c30bf0e2f76e67d13ed2ab748797fd52c7
ind_R4.zip,indonesia,R4,15850,30439734800,5a372d2a54be5301e3027d3fa44052422149d475983a7b1e385f878ea4ce8c71
ind_R5.zip,indonesia,R5,16024,30773899712,13c799c1a7e4d8f2583e61615ce3f04cf1bec3734c4d4a65ddeee16cdedfd7af
ind_R6.zip,indonesia,R6,16047,30818070936,59be82f69fa1bd9b00f94017cf388e9b7b32b078719920ed58cace1b2ad6dad1
ken_D1.zip,kenya,D1,4675,8978281400,9a413c2018af894f26e8db4a66e89f680ec30903afa1ef3c12e51817bd885466
ken_D2.zip,kenya,D2,11917,22886455496,ac8a166f5838bfd3a471a8218af90c68a0461f30376036005aa30ad8b59a6e05
ken_H1.zip,kenya,H1,1060,2035717280,2b62a184c83ec1749c087af9d11bd9d699b85e6232ba93ebb0ef547b0e506b45
ken_H2.zip,kenya,H2,12269,23562435272,a84dfda16c3fb1649d15cd9878a5fbbac8ed84729edb670a35601ff0918617b1
ken_N1.zip,kenya,N1,11954,22957513552,f6f5f8cf4e43edb9131259b5a42502994a8d41009b7601227b04e7279a436779
mal_D1.zip,maldives,D1,11538,22153467672,2f72ba5b8e71a5c7722b7f13b5417431c61e9237ca1fd66d0ab8e63795542009
mal_D2.zip,maldives,D2,10953,21030241932,4dbec1a84a835cfa84cb5a42d192139f69524d94dfd0e35db8311051d64b37fc
mal_H1.zip,maldives,H1,11594,22260990136,f0700cb796da7ba189ea16ce34e9314da59c7a05fd979e365c847d7604e5ed4c
mal_H2.zip,maldives,H2,11562,22199548728,e77044606f6d5eaef89feb44f98f66bc1af191f468a8c498dd4dbe313f285759
mal_N1.zip,maldives,N1,11481,22044025164,0bc83ba29950821b29fbf9d6d136ad253c71495f5d15396c996a30cb2bd7a6e0
mex_D1.zip,mexico,D1,10741,20627641608,8bdab5370f59b3a6b5cafc7b59cf6781c1b6d0df2acf0d4d0d060dc0f62b6b1a
mex_D2.zip,mexico,D2,11158,21427179528,30dcb736533020bb145743fdb411facbd11ced9f9e442dcc35964df5819c1620
mex_H1.zip,mexico,H1,10794,20729427472,8f01177f5b79f1ea3ebf09b426c9b5f32d36eabf1e661913f2dd1644bdcac2d7
mex_H2.zip,mexico,H2,9986,19177993168,247b0f7518ffbc58ddc403ae2208d0d3845e9f01fa56980b33aa60ae12882394
mex_H3.zip,mexico,H3,10188,19565931744,46fc8b5767e4dd89bd40d4ac8520d2f91ce9cdf942cbf62971d30e7db14dccb7
mex_N1.zip,mexico,N1,10206,19600180528,fc42cf411ce4bb603396e83e00b8dccc5228137697e51456bd5f38b200b1cc1c
mex_R1.zip,mexico,R1,10434,20038339792,fb89dbb2e48e3cf528a014efc0a7fe66c926c5c3ca2e4da62487e2cc35581df3
detections_australia.zip,australia,all_sites,84045,84045,c4ba6c37221e94ba36be5b21381efb8e4d9b232fe8d95056cfa33c915597d4a8
detections_indonesia.zip,indonesia,all_sites,587980,587980,74cf02756f9f395be6ccc8bb7b8ac1683a0e2747bd28b6895b834ecea3396e3b
detections_kenya.zip,kenya,all_sites,98734,98734,1b5f745571bbd234477b10e8d84dc0b99832ebf059f86b5edaa291591488c61a
detections_maldives.zip,maldives,all_sites,96618,96618,66bf377ab2ad9197a179f7f2e5e6ef46f8ecfba854d2d8ac36ec53c9ae8c2f2a
detections_mexico.zip,mexico,all_sites,43457,43457,e2e2367b7e0e83022596109aeef79ac6f15a2d33dfade676babc671d42bf885f
